OID_,L_LADD,L_HADD,R_LADD,R_HADD,PREDIR,STREET,SUFFIX,POSDIR,STREETNAME,UPDATED,UPDATED_BY,CREATED,ROUTE_NO,STREET_ID,SOURCE,ST_CLASS,CATCHBASIN,METERREAD,PRIORITY,SNOWRT,LEAFRT,TRASHRT,ENABLED,ONE_WAY,SPEED,PS_1,PS_2,SYMBOLOGY,PARKZONE,STSEGID,created_us,created_da,last_edite,last_edi_1,Shape_len
461,700.000000000000000,716.000000000000000,701.000000000000000,715.000000000000000, ,ELSOM,ST, ,ELSOM ST,3/11/2005 0:00:00, , ,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80466.000000000000000, ,, ,,155.431602986999991
462,600.000000000000000,600.000000000000000,601.000000000000000,617.000000000000000, ,ELSOM,ST, ,ELSOM ST,3/11/2005 0:00:00, , ,1,0.000000000000000, ,N/A,N/A, ,N/A,N/A,N/A,N/A,1.000000000000000, ,25, , ,8, ,80467.000000000000000, ,, ,,310.305792309000026
463,143.000000000000000,199.000000000000000,142.000000000000000,198.000000000000000, ,8TH,ST,NW,8TH ST NW,3/11/2005 0:00:00, ,RLC,1,1.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80468.000000000000000, ,, ,,391.033234173999972
465,219.000000000000000,299.000000000000000,220.000000000000000,298.000000000000000, ,5TH,ST,NW,5TH ST NW,3/11/2005 0:00:00, ,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8,Z6-1,80470.000000000000000, ,,COOKR,11/10/2014 0:00:00,201.320378196000007
1061,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,8TH,ST,NW,8TH ST NW,3/11/2005 0:00:00, ,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,81074.000000000000000, ,, ,,77.943496993899998
1104,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,RIDGE MCINTIRE,RD, ,RIDGE MCINTIRE RD,3/12/2010 0:00:00,PER, ,0,0.000000000000000, ,PA,1, ,AUX 2,AUX 2,2G,N/A,1.000000000000000, ,25, , ,2, ,81117.000000000000000, ,,EMERICKR,9/9/2015 0:00:00,65.493097989600003
1115,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/11/2005 0:00:00, , ,0,0.000000000000000, ,PA,1, ,AUX 2,AUX 2,2A,THURSDAY,1.000000000000000, ,25, , ,2, ,81128.000000000000000, ,,EMERICKR,9/9/2015 0:00:00,41.317328743700003
1118,500.000000000000000,514.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,12/13/2010 0:00:00,RAE, ,1,0.000000000000000, ,PA,1, ,AUX 2,AUX 2,2A,THURSDAY,1.000000000000000,TF,35, , ,2, ,81131.000000000000000, ,, ,,275.399325971999986
1119,600.000000000000000,616.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,12/13/2010 0:00:00,RAE, ,1,1.000000000000000, ,PA,1, ,AUX 2,AUX 2,2A,THURSDAY,1.000000000000000,TF,35, , ,2, ,81132.000000000000000, ,, ,,373.717399994999994
1121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,HARRIS,ST, ,HARRIS ST,3/11/2005 0:00:00, , ,0,0.000000000000000, ,LC,1, ,PRIMARY,4,2A,MONDAY,1.000000000000000, ,25, , ,8, ,81134.000000000000000, ,, ,,62.959998748300002
