OID_,L_LADD,L_HADD,R_LADD,R_HADD,PREDIR,STREET,SUFFIX,POSDIR,STREETNAME,UPDATED,UPDATED_BY,CREATED,ROUTE_NO,STREET_ID,SOURCE,ST_CLASS,CATCHBASIN,METERREAD,PRIORITY,SNOWRT,LEAFRT,TRASHRT,ENABLED,ONE_WAY,SPEED,PS_1,PS_2,SYMBOLOGY,PARKZONE,STSEGID,created_us,created_da,last_edite,last_edi_1,Shape_len
995,600.000000000000000,610.000000000000000,601.000000000000000,605.000000000000000, ,RIVANNA,AVE, ,RIVANNA AVE,3/11/2005 0:00:00, , ,0,1.000000000000000, ,N/A,N/A, ,N/A,N/A,N/A,N/A,1.000000000000000, ,25, , ,8, ,81006.000000000000000, ,, ,,234.575196696000006
1023,801.000000000000000,801.000000000000000,800.000000000000000,800.000000000000000, ,FOREST,ST, ,FOREST ST,3/11/2005 0:00:00, , ,0,0.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81036.000000000000000, ,, ,,84.326960292500004
1024,803.000000000000000,803.000000000000000,802.000000000000000,802.000000000000000, ,FOREST,ST, ,FOREST ST,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81037.000000000000000, ,, ,,69.336017880800000
1025,805.000000000000000,817.000000000000000,804.000000000000000,822.000000000000000, ,FOREST,ST, ,FOREST ST,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81038.000000000000000, ,, ,,175.042882077000002
1121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,HARRIS,ST, ,HARRIS ST,3/11/2005 0:00:00, , ,0,0.000000000000000, ,LC,1, ,PRIMARY,4,2A,MONDAY,1.000000000000000, ,25, , ,8, ,81134.000000000000000, ,, ,,62.959998748300002
1126,501.000000000000000,507.000000000000000,500.000000000000000,500.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,1,1.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,81139.000000000000000, ,, ,,216.714870324000003
1247,801.000000000000000,815.000000000000000,720.000000000000000,780.000000000000000, ,HARRIS,ST, ,HARRIS ST,3/11/2005 0:00:00, , ,0,1.000000000000000, ,LC,1, ,PRIMARY,4,2A,MONDAY,1.000000000000000, ,25, , ,8, ,81265.000000000000000, ,, ,,298.359317679000014
1283,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,0,0.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,81301.000000000000000, ,, ,,66.677672920800006
1371,601.000000000000000,605.000000000000000,600.000000000000000,606.000000000000000, ,CONCORD,AVE, ,CONCORD AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,1, ,SECONDARY,4,2A,MONDAY,1.000000000000000, ,25, , ,8, ,81389.000000000000000, ,, ,,378.287216096000009
1505,901.000000000000000,903.000000000000000,900.000000000000000,900.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,1,1.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,81525.000000000000000, ,, ,,335.118934965999983
1564,0.000000000000000,0.000000000000000,1200.000000000000000,1200.000000000000000, ,FOREST,ST, ,FOREST ST,12/13/2010 0:00:00,RAE, ,0,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81584.000000000000000, ,, ,,12.102228475100000
1574,509.000000000000000,509.000000000000000,600.000000000000000,636.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,0,0.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,81595.000000000000000, ,, ,,34.635018409799997
1746,900.000000000000000,908.000000000000000,901.000000000000000,909.000000000000000, ,CHARLTON,AVE, ,CHARLTON AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81767.000000000000000, ,, ,,313.736217135000004
1763,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,8TH,ST,NW,8TH ST NW,3/11/2005 0:00:00,MAS,RLC,0,0.000000000000000, ,LC,4, ,SECONDARY,4,1G,THURSDAY,1.000000000000000, ,25, , ,8, ,81784.000000000000000, ,, ,,64.071872373900007
1765,600.000000000000000,612.000000000000000,601.000000000000000,621.000000000000000, ,HENRY,AVE, ,HENRY AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,1, ,SECONDARY,4,2a,MONDAY,1.000000000000000, ,25, , ,8, ,81786.000000000000000, ,, ,,373.205267907000007
1766,0.000000000000000,0.000000000000000,613.000000000000000,625.000000000000000, ,DALE,AVE, ,DALE AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,1, ,SECONDARY,4,2a,MONDAY,1.000000000000000, ,25, , ,8, ,81787.000000000000000, ,, ,,238.590625724000006
1767,600.000000000000000,600.000000000000000,601.000000000000000,605.000000000000000, ,DALE,AVE, ,DALE AVE,3/11/2005 0:00:00, , ,0,1.000000000000000, ,LC,1, ,SECONDARY,4,2a,MONDAY,1.000000000000000, ,25, , ,8, ,81788.000000000000000, ,, ,,134.685022411999995
1770,1600.000000000000000,1600.000000000000000,1601.000000000000000,1627.000000000000000, ,MADISON,AVE, ,MADISON AVE,12/15/2010 0:00:00,RAE, ,1,1.000000000000000, ,LC,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81791.000000000000000, ,,COOKR,11/10/2014 0:00:00,989.535046708999971
1771,1500.000000000000000,1528.000000000000000,1501.000000000000000,1529.000000000000000, ,MADISON,AVE, ,MADISON AVE,12/15/2010 0:00:00,RAE, ,1,1.000000000000000, ,LC,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,81792.000000000000000, ,,COOKR,11/10/2014 0:00:00,256.358908225999983
1773,701.000000000000000,719.000000000000000,700.000000000000000,710.000000000000000, ,ALBEMARLE,ST, ,ALBEMARLE ST,4/18/2013 0:00:00,RAE,RLC,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1G,THURSDAY,1.000000000000000, ,25, , ,8, ,81794.000000000000000, ,, ,,333.114164583999980
1774,801.000000000000000,823.000000000000000,800.000000000000000,800.000000000000000, ,ALBEMARLE,ST, ,ALBEMARLE ST,4/20/2012 0:00:00,RAE,RLC,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1G,THURSDAY,1.000000000000000, ,25, , ,8, ,81795.000000000000000, ,, ,,316.205905863999988
2039,0.000000000000000,0.000000000000000,919.000000000000000,941.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/15/2010 0:00:00,PER, ,0,1.000000000000000, ,PA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000,FT,35, , ,2, ,82071.000000000000000, ,, ,,188.847687095999987
2040,0.000000000000000,0.000000000000000,901.000000000000000,919.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/15/2010 0:00:00,PER, ,0,1.000000000000000, ,PA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000,FT,35, , ,2, ,82072.000000000000000, ,, ,,674.107153511999968
2161,1000.000000000000000,1010.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/12/2010 0:00:00,PER, ,0,1.000000000000000, ,MA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000, ,25, , ,3, ,82195.000000000000000, ,,COOKR,11/10/2014 0:00:00,240.057494416999987
2162,601.000000000000000,699.000000000000000,600.000000000000000,698.000000000000000, ,10TH,ST,NW,10TH ST NW,8/12/2009 0:00:00, ,RLC,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,82196.000000000000000, ,, ,,365.289276970000003
2164,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/11/2005 0:00:00, , ,0,1.000000000000000, ,MA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000,TF,35, , ,3, ,82198.000000000000000, ,, ,,250.561817762999993
2165,0.000000000000000,0.000000000000000,943.000000000000000,947.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/15/2010 0:00:00,PER, ,0,1.000000000000000, ,MA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000,FT,35, , ,3, ,82199.000000000000000, ,, ,,252.909812770999991
2505,1101.000000000000000,1117.000000000000000,1100.000000000000000,1110.000000000000000, ,FOREST,ST, ,FOREST ST,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,82550.000000000000000, ,, ,,315.565755439999975
